Time,Sender,Content
2025-06-14 22:06:28,我,谢谢主人
2025-06-14 22:08:13,我,哈哈哈哈，你也有好多小8
2025-06-14 22:08:24,我,哦对了，老师
2025-06-14 22:08:30,我,你好，我要点菜。怎么说
2025-06-14 22:09:39,对方,料理を注文します
2025-06-14 22:09:51,我,专业！
2025-06-14 22:10:30,我,最难的一集
2025-06-14 22:10:34,对方,哈哈哈
2025-06-14 22:10:40,我,听懂了料理
2025-06-14 22:11:36,我,这是什么意思呢
2025-06-14 22:11:38,对方,万能语
2025-06-14 22:11:45,我,这是日语吗
2025-06-14 22:12:02,我,是不是意思是我是中国人，我不会日语的意思）
2025-06-14 22:13:13,我,老师我悟了
2025-06-14 22:13:31,我,我感觉已经可以不用翻译畅游日本了
2025-06-14 22:13:36,对方,哈哈哈哈
2025-06-14 22:13:51,对方,太聪明了
2025-06-14 22:13:58,我,名师出高徒
2025-06-14 22:14:02,对方,哈哈哈哈哈哈
2025-06-14 22:14:11,对方,我的爱徒
2025-06-14 22:14:30,我,主包，你还玩一会吗
2025-06-14 22:14:44,对方,王者吗
2025-06-14 22:14:52,我,我估计解封了
2025-06-14 22:15:07,对方,Okok
2025-06-14 22:15:25,对方,那你看看能不能玩儿？
2025-06-14 22:15:27,我,是的，孩子们，我解封了
2025-06-14 22:15:36,对方,😂😂
2025-06-14 23:15:19,我,嗨
2025-06-14 23:16:01,我,我跟你讲
2025-06-14 23:16:06,我,我到现在都没住过上床下桌
2025-06-14 23:16:08,对方,昂
2025-06-14 23:16:11,对方,啊
2025-06-14 23:16:22,我,最惨的一集哈哈哈
2025-06-14 23:16:25,对方,你们学校不拍上床下桌吗
2025-06-14 23:16:25,我,大学和高中都是
2025-06-14 23:16:26,对方,哈哈哈
2025-06-14 23:16:27,我,素的
2025-06-14 23:16:33,对方,那很惨了
2025-06-14 23:16:46,我,你们不会是上床下桌吧
2025-06-14 23:16:54,对方,是的主包
2025-06-14 23:17:06,我,羡慕
2025-06-14 23:17:21,我,不过还好，我们宿舍4个人
2025-06-14 23:17:26,我,我有朋友8个人
2025-06-14 23:17:36,对方,那很坏了
2025-06-14 23:17:51,对方,不过我大二上学期没住过
2025-06-14 23:18:00,对方,被发配到边疆了
2025-06-14 23:18:05,对方,洪泽
2025-06-14 23:18:09,对方,特别惨
2025-06-14 23:18:15,对方,跟古代流放一样
2025-06-14 23:18:17,我,洪泽这是在哪里
2025-06-14 23:18:29,对方,淮安的一个县
2025-06-14 23:18:33,对方,吧
2025-06-14 23:18:34,我,我还以为是洪泽湖哈哈哈
2025-06-14 23:18:47,对方,一个地方
2025-06-14 23:18:48,对方,哈哈哈
2025-06-14 23:19:00,对方,那周围什么都没有
2025-06-14 23:19:05,对方,学校对面就是玉米地
2025-06-14 23:19:13,我,我去过洪泽湖湿地
2025-06-14 23:19:18,我,开车过去确实很荒芜
2025-06-14 23:19:22,我,好惨啊主包
2025-06-14 23:19:31,我,我本科也不在市区
2025-06-14 23:19:32,对方,特别惨的一集
2025-06-14 23:20:16,我,我读博的地方，校门口是海边
2025-06-14 23:20:49,我,还是挺浪漫了
2025-06-14 23:21:05,对方,确实
2025-06-14 23:21:12,对方,适合谈恋爱
2025-06-14 23:21:16,我,哈哈哈哈
2025-06-14 23:21:17,我,是的
2025-06-14 23:21:30,我,那条路就叫
2025-06-14 23:21:32,我,情侣北路
2025-06-14 23:21:36,对方,哈哈哈哈
2025-06-14 23:21:42,对方,太形象了
2025-06-14 23:21:52,我,耶斯
2025-06-14 23:22:14,我,不过感觉读博可能也没人会看得上了准备好孤寡了
2025-06-14 23:22:24,对方,哈哈哈哈
2025-06-14 23:22:29,对方,好厉害
2025-06-14 23:22:36,我,没有，其实就是牛马
2025-06-14 23:22:38,对方,真的
2025-06-14 23:23:32,我,我感觉计算机就是赚钱多一点
2025-06-14 23:23:38,我,适合男生读的青春饭
2025-06-14 23:23:42,我,不适合女孩子的专业
2025-06-14 23:24:13,对方,雀氏比较适合男孩子
2025-06-14 23:24:28,对方,之前看那个微微一笑很倾城 贝微微不就是计算机系吗
2025-06-14 23:24:30,对方,哈哈哈哈
2025-06-14 23:24:35,对方,还有肖奈
2025-06-14 23:24:50,我,哈哈哈哈哈我看了剪辑好像确实是哎
2025-06-14 23:24:59,我,赚钱是真的多，。牛马也是真的牛马
2025-06-14 23:25:31,对方,哈哈
2025-06-14 23:26:01,对方,记忆就停留在肖奈
2025-06-14 23:26:17,我,哈哈哈哈哈
2025-06-14 23:26:21,对方,敲代码
2025-06-14 23:26:27,我,嗯嗯是的
2025-06-14 23:36:26,对方,睡觉吧主包
2025-06-14 23:36:32,对方,养生
2025-06-14 23:36:40,我,你睡嘛主人
2025-06-14 23:36:49,对方,主人也睡
2025-06-14 23:36:57,对方,主人也要养生了
2025-06-14 23:36:58,我,好，主人，那我去睡觉
2025-06-14 23:37:00,我,主人很健康
2025-06-14 23:37:10,对方,好
2025-06-14 23:37:32,我,晚安主人
2025-06-14 23:37:43,对方,晚安小狗
2025-06-14 23:37:51,我,哇
2025-06-14 23:38:03,对方,小狗好不好
2025-06-14 23:38:05,我,嗯嗯好
2025-06-14 23:38:15,我,被主人训的好
2025-06-14 23:38:26,对方,嘿嘿好ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
2025-06-14 23:38:48,对方,晚安小狗💤
2025-06-14 23:38:53,我,晚安主人！
2025-06-15 12:20:57,对方,已经睡得不知天地为何物了
2025-06-15 12:21:16,我,没事，我也没好到哪里去
2025-06-15 12:21:27,我,9点醒，不小心又睡着到了11点
2025-06-15 12:22:09,对方,哈哈哈
2025-06-15 12:27:06,我,有奖竞猜
2025-06-15 12:27:09,我,这是什么物种
2025-06-15 12:27:19,对方,难道是
2025-06-15 12:27:26,对方,小猫
2025-06-15 12:27:56,对方,居然是小狗
2025-06-15 12:28:09,我,没事的，人工智能也错了
2025-06-15 12:28:20,对方,哈哈哈哈
2025-06-15 12:28:21,我,微信识别的是🐱
2025-06-15 12:28:33,我,我家秋田背影好像橘猫啊
2025-06-15 12:28:43,对方,嗯嗯
2025-06-15 12:28:56,对方,它叫秋田啊
2025-06-15 12:29:09,我,嗯嗯，秋田是一个品种，她叫小美
2025-06-15 12:29:20,对方,搜嘎
2025-06-15 12:29:25,对方,小美
2025-06-15 12:29:30,对方,哈哈哈
2025-06-15 12:29:40,我,不粘人的小 i狗
2025-06-15 12:30:05,对方,哈哈
2025-06-15 12:30:39,对方,挺好的
2025-06-15 12:30:44,对方,小美比较高冷
2025-06-15 12:30:57,我,嗯嗯是的，高冷的
2025-06-15 12:31:45,对方,你吃饭了吗
2025-06-15 12:31:57,我,yeah，主包11点吃啦
2025-06-15 12:32:11,对方,好好
2025-06-15 12:32:14,我,你是不是下楼挤饭
2025-06-15 12:32:19,对方,主包醒来第一件事就是干饭
2025-06-15 12:32:23,我,我也
2025-06-15 12:32:35,对方,我昨天吃太多了
2025-06-15 12:32:43,对方,决定液断一下
2025-06-15 12:33:01,对方,🌚我去买个小咖啡喝喝
2025-06-15 12:33:01,我,我已经退化到一天两顿了
2025-06-15 12:33:09,我,好٩◔̯◔۶
2025-06-15 12:34:32,我,哈哈哈可以
2025-06-15 12:36:51,对方,主包，你现在已经放假了吗主包？
2025-06-15 12:37:11,我,嗯嗯，主人，算是放假吧
2025-06-15 12:37:21,我,从去年十月保研以后就不在学校了
2025-06-15 12:37:30,我,但是有博士那边课题组的任务
2025-06-15 12:37:37,我,线上忙
2025-06-15 12:37:40,对方,真不错啊
2025-06-15 12:37:50,我,还有最后三个月假期
2025-06-15 12:38:07,对方,享受假期吧
2025-06-15 12:38:33,我,已经很享受啦
2025-06-15 12:38:45,我,你们上课课多吗
2025-06-15 12:38:57,对方,多
2025-06-15 12:39:29,对方,不知道学校为什么要排这么多课，一点用都没有
2025-06-15 12:39:40,我,是啊是啊，很多水课
2025-06-15 12:39:47,我,我都是上课的时候干自己的事
2025-06-15 12:40:11,对方,我也是，上课时候我只跟我的小手机玩
2025-06-15 12:40:31,对方,🌚
2025-06-15 12:40:54,我,哈哈哈哈哈哈
2025-06-15 12:46:03,对方,不想考三级，来帮主包考英语三级吧
2025-06-15 12:46:21,我,哎呀能帮你考就好啦
2025-06-15 12:46:33,我,几点去呀
2025-06-15 12:46:44,对方,哈哈3点
2025-06-15 12:47:08,我,好哦，希望这次题目简单点
2025-06-15 12:47:15,对方,嗯嗯
2025-06-15 12:49:29,我,妈呀，问过教学楼的管理员之类的吗，或者盯一下校园墙，没有的话补办应该也还好
2025-06-15 12:50:47,对方,好命苦啊
2025-06-15 12:50:56,我,好命苦啊主包你
2025-06-15 13:00:01,对方,浅尝一下熊猫陨石拿铁
2025-06-15 13:01:00,我,介个嘛
2025-06-15 13:01:05,对方,嗯嗯
2025-06-15 13:01:18,对方,我第一次喝
2025-06-15 13:01:45,我,哈哈哈我喝瑞幸不超过2次
2025-06-15 13:01:55,我,可能因为主包不怎么喝奶茶咖啡
2025-06-15 13:02:49,对方,哈哈哈
2025-06-15 13:03:08,对方,那很棒了
2025-06-15 13:03:17,对方,我要向你学习
2025-06-15 13:03:38,对方,控糖[拳头]
2025-06-15 13:03:57,我,主包女孩子应该没事的
2025-06-15 13:04:13,我,不要太经常就好啦
2025-06-15 13:31:54,对方,原来陨石是冰块啊
2025-06-15 13:32:14,我,熊猫呢熊猫呢
2025-06-15 13:32:20,我,难道是咖啡+奶
2025-06-15 13:32:22,对方,哈哈哈
2025-06-15 13:32:30,对方,还有冰块
2025-06-15 13:32:49,我,起名字还真是艺术
2025-06-15 13:33:20,对方,这里还有那个小晶球 像珍珠一样那种
2025-06-15 13:33:31,对方,这应该是熊猫？
2025-06-15 13:33:44,我,啊哈哈哈哈是这样啊
2025-06-15 13:34:40,我,我觉得不如叫南极珍珠海
2025-06-15 13:34:51,我,南极=浮冰冰川=冰块
2025-06-15 13:35:08,对方,哈哈哈哈
2025-06-15 13:35:09,我,珍珠=(￣～￣)嚼的球
2025-06-15 13:35:17,对方,你是会起名字的
2025-06-15 13:35:28,我,瑞幸：明天就来上班
2025-06-15 13:35:33,对方,哈哈哈
2025-06-15 14:19:47,对方,主包你是啥星座啊
2025-06-15 14:20:02,我,我是金牛+enfp
2025-06-15 14:20:36,对方,哇哦
2025-06-15 14:20:43,对方,我是ENFJ
2025-06-15 14:21:03,我,哇偶，我是pj摇摆人其实有时候
2025-06-15 14:21:11,我,出去玩没人规划就是我来j一下
2025-06-15 14:21:26,对方,哈哈哈
2025-06-15 14:22:11,对方,主包都是秒回消息哎
2025-06-15 14:22:24,我,哈哈哈，因为这会在家
2025-06-15 14:22:32,我,出门可能不容易秒回
2025-06-15 14:22:36,对方,嗯嗯
2025-06-15 14:23:23,我,主人你是什么星座
2025-06-15 14:24:48,对方,我是极品巨蟹座
2025-06-15 14:24:50,对方,哈哈哈哈
2025-06-15 14:25:01,我,！
2025-06-15 14:25:03,我,妈呀
2025-06-15 14:25:24,我,巨蟹女简直就是无敌魅力
2025-06-15 14:28:27,对方,哈哈
2025-06-15 14:28:28,对方,真的吗
2025-06-15 14:28:32,对方,真的
2025-06-15 14:28:37,我,真的
2025-06-15 14:29:03,我,以后有机会一定要谈个巨蟹女
2025-06-15 14:29:04,我,哈哈哈
2025-06-15 14:29:37,对方,哈哈哈
2025-06-15 14:30:15,对方,有的兄弟，有的
2025-06-15 14:31:19,我,你是0713嘛
2025-06-15 14:31:33,对方,真聪明
2025-06-15 14:31:41,对方,！
2025-06-15 14:31:43,我,耶耶
2025-06-15 14:31:49,我,被夸奖了哈哈哈
2025-06-15 14:32:15,对方,奖励两朵小红花
2025-06-15 14:32:38,我,开心^_^谢谢主人，阿里嘎多郭砸伊玛斯
2025-06-15 14:32:44,对方,哈哈哈哈
2025-06-15 14:35:57,对方,主包现在在考试的路上
2025-06-15 14:36:34,我,主包放轻松，take it easy，东西记得带齐呀
2025-06-15 17:07:59,对方,主包考完了
2025-06-15 17:17:26,我,恭喜主包
2025-06-15 17:17:28,我,熹妃回宫
2025-06-15 17:18:07,我,难度如何呀，是不是稳啦
2025-06-15 17:18:18,对方,感觉还行吧，嗯
2025-06-15 17:18:28,我,棒棒哒
2025-06-15 17:18:33,我,为你点赞👍
2025-06-15 17:18:37,对方,反正作文还是不知道怎么写，因为我根本就没有多少词汇量
2025-06-15 17:18:53,我,哈哈哈没事，这个就算有很多词汇量也就加几分
2025-06-15 17:18:58,我,性价比低
2025-06-15 17:18:59,对方,哈哈哈
2025-06-15 17:19:02,对方,嗯嗯
2025-06-15 17:19:23,对方,到吃晚饭的时间了，吃饭了吗？
2025-06-15 17:19:52,我,嗯嗯，正在吃，今天的晚饭是糖醋菠萝里脊，番茄炒蛋，广式腊肠，梅菜扣肉，海菜汤，米饭
2025-06-15 17:20:05,对方,哇塞，是西红柿炒蛋哎
2025-06-15 17:20:11,我,在健身房楼下的商场吃的，因为做了10组，可以多吃一点
2025-06-15 17:20:12,我,嗯嗯
2025-06-15 17:20:33,对方,嗯嗯奖励自己嘿嘿
2025-06-15 17:20:42,对方,世界上最伟大的西红柿炒鸡蛋
2025-06-15 17:20:43,我,主包你要不要奖励一下自己
2025-06-15 17:21:17,我,只吃一个鸡蛋吗
2025-06-15 17:21:24,对方,没错
2025-06-15 17:21:26,我,主包你有没有90斤我已经很担心了
2025-06-15 17:21:37,对方,主包刚刚好90斤
2025-06-15 17:21:51,我,哇，你真的太瘦了
2025-06-15 17:22:17,对方,但是我不高啊
2025-06-15 17:22:29,我,主包你有165吗
2025-06-15 17:22:43,对方,主包没有哈哈
2025-06-15 17:23:02,我,160呢
2025-06-15 17:23:07,我,（有趣的二分问题）
2025-06-15 17:23:20,对方,嗯，差不多～
2025-06-15 17:23:29,我,假设主包身高在1米到2米之间
2025-06-15 17:23:36,我,每次只能回答大了还是小了
2025-06-15 17:23:38,对方,哈哈哈哈哈
2025-06-15 17:23:46,我,最多只需要7次就可以猜到
2025-06-15 17:24:10,对方,还是太全面了
2025-06-15 17:26:28,我,我的妈呀
2025-06-15 17:26:38,我,我一个早饭都得吃2个蛋
2025-06-15 17:28:09,我,主包你一个月伙食费我感觉都用不到800块钱。。
2025-06-15 17:28:14,对方,男孩子就要吃到多多多多多多的
2025-06-15 17:28:27,我,哈哈哈哈我倒是觉得女孩子应该多吃点
2025-06-15 17:28:36,我,我其实一天1-2顿
2025-06-15 17:28:48,我,一天吃一顿的话，晚上吃水果
2025-06-15 17:29:08,对方,其实我也没有仔细的算过
2025-06-15 17:29:47,我,没事，可以省下来钱买别的
2025-06-15 17:30:15,对方,不过有时候会比较奢侈一点，点个外卖吃或者是啥的
2025-06-15 17:30:36,我,嗯嗯，明白了，主包你真的是很勤俭了
2025-06-15 17:30:53,对方,没有没有
2025-06-15 17:31:01,对方,总是买一些别的乱七八糟的东西
2025-06-15 17:31:14,我,女孩子就应该这样哈哈哈
2025-06-15 17:31:19,我,买买买
2025-06-15 17:31:40,我,化妆品衣服鞋子包包小裙子娃娃奶茶首饰
2025-06-15 17:32:11,对方,没错
2025-06-15 17:32:27,对方,我的愿望就是有穿不完的小裙子
2025-06-15 17:32:40,我,哇，听起来就幸福
2025-06-15 17:32:50,我,主包我是你的粉丝
2025-06-15 17:33:08,对方,你是我的铁粉
2025-06-15 17:34:50,我,妈呀我看了下我的年度账单
2025-06-15 17:34:53,我,心碎了
2025-06-15 17:34:56,我,好多隐形消费
2025-06-15 17:35:39,对方,被资本做局了
2025-06-15 17:35:50,对方,我也是，我明明感觉自己没有买多少，但是就是少了很多钱
2025-06-15 17:35:57,我,素的素的
2025-06-15 17:36:16,对方,资本你赢了
2025-06-15 17:36:22,我,美团月付和花呗，资本你赢了
2025-06-15 17:36:54,我,主人你理财吗
2025-06-15 17:37:16,对方,微理
2025-06-15 17:37:25,对方,之前弄了一个记账的
2025-06-15 17:37:45,我,哇
2025-06-15 17:37:50,对方,后来老是忘 就大概理了一下
2025-06-15 17:37:55,我,宝藏级别
2025-06-15 17:38:03,我,给你看我的一个
2025-06-15 17:38:09,我,请叫我国服抄底王
2025-06-15 17:38:25,对方,哇塞
2025-06-15 17:38:31,我,精确在黄金最低点买入
2025-06-15 17:39:13,对方,斯高一
2025-06-15 17:41:37,对方,课终于少了
2025-06-15 17:41:39,对方,一点
2025-06-15 17:42:02,我,为什么我大一大二大三都是5天早八
2025-06-15 17:42:12,对方,哈哈哈哈
2025-06-15 17:42:16,对方,命苦
2025-06-15 17:42:32,对方,学校想让你早起
2025-06-15 17:42:42,我,我的命好苦
2025-06-15 17:42:46,我,当时还是疫情
2025-06-15 17:42:47,我,上网课
2025-06-15 17:42:53,我,好多人在宿舍起床挂着
2025-06-15 17:43:16,我,我为了绩点还得起床去图书馆上网课
2025-06-15 17:43:45,对方,哈哈哈
2025-06-15 17:44:03,对方,那确实很惨了
2025-06-15 17:44:25,对方,而且还不能出去玩
2025-06-15 17:44:52,我,是的！
2025-06-15 17:47:41,对方,当时疫情我是高中 都不要上课
2025-06-15 17:47:48,对方,ડ🌚ડ这个主包有点爽
2025-06-15 17:47:53,我,2020年的时候我们也停课了
2025-06-15 18:15:38,我,主包终于到家了
2025-06-15 18:15:57,我,今天周末我车被堵住了。只能骑车出去
2025-06-15 18:15:59,我,b亏
2025-06-15 18:20:35,对方,哈哈哈
2025-06-15 18:20:47,我,"老师您好我这边也能给到您一个解释，就是我这边前十六周完全没学，这个事情确实是发生了，也是很抱歉，这边给您补偿5元您看可以吗?真的很不好意思哈，这边也是有点失误,也确实是有认识到错误的，您看这样能行吗。"
2025-06-15 18:20:57,对方,哈哈哈哈
2025-06-15 18:21:10,对方,学会了
2025-06-15 18:21:17,对方,我这就和导员说
2025-06-15 18:21:20,我,哈哈哈
2025-06-15 18:22:32,对方,主包正在努力的收拾桌面 我为什么要买这么多小东西
2025-06-15 18:23:15,我,那种小收纳箱收纳盒还挺实用的主包
2025-06-15 18:23:44,对方,是的 主包有两三个
2025-06-15 18:24:08,我,我的桌面就比较简单了，显示器，主机，键鼠，音响
2025-06-15 18:24:18,对方,哈哈
2025-06-15 18:24:24,对方,全是专业
2025-06-15 18:24:32,我,衣服放的整整齐齐
2025-06-15 18:24:41,对方,比较看心情
2025-06-15 18:24:50,我,明白了主包
2025-06-15 19:09:49,对方,全部收拾了一遍
2025-06-15 19:09:58,对方,真是勤快死我了
2025-06-15 19:21:54,我,主包辛苦了，收拾了半个小时多
2025-06-15 20:40:17,对方,谁来给主包做PPT
2025-06-15 20:40:29,我,主人你要做什么ppt呀
2025-06-15 20:40:38,对方,"酮症酸中毒实训方案设计

一、化验单展示

患者信息

• 姓名：王XX

• 性别：男

• 年龄：45岁

• 主诉：多尿、烦渴多饮、乏力3天，加重伴恶心、呕吐、意识模糊半天。

临床表现

患者近3天尿量显著增多，每日约3000 - 4000ml，极度口渴，频繁饮水，全身乏力明显。半天前症状加重，出现恶心、呕吐，呕吐物为胃内容物，随后逐渐出现意识模糊，呼之能应但言语含糊。

尿常规化验单
项目 结果 正常参考区间 
尿酮体 +++ 阴性 
尿糖 ++++ 阴性 
酸碱度（pH） 5.0 4.5 - 8.0 
比重 1.035 1.010 - 1.025 

其他辅助检查

• 血糖：33.3mmol/L（正常3.9 - 6.1mmol/L）

• 血酮体：8.0mmol/L（正常 < 0.3mmol/L）

• 二氧化碳结合力：12mmol/L（正常22 - 29mmol/L）

二、化验单讲解

异常指标及正常范围

1. 尿酮体：结果为+++，正常参考区间是阴性。尿酮体是体内脂肪代谢的中间产物，正常情况下含量极少。

2. 尿糖：结果 ++++，远超正常的阴性范围。尿糖阳性通常提示血糖水平超过了肾脏的糖阈 。

3. 酸碱度（pH）：5.0，处于正常参考区间 4.5 - 8.0 的低值边缘。酮症酸中毒时，酸性物质酮体增多，会使尿液偏酸性 。

4. 比重：1.035，高于正常参考区间 1.010 - 1.025。尿糖和酮体增多会使尿液溶质增加，导致比重升高 。

三、疾病诊断

初步诊断

糖尿病酮症酸中毒（DKA）。

诊断理由

1. 患者存在糖尿病典型症状“三多一少”（多尿、多饮、多食、体重减轻）的加重表现，如多尿、烦渴多饮、乏力。

2. 尿常规显示尿酮体强阳性、尿糖强阳性。

3. 血糖高达 33.3mmol/L，血酮体明显升高至 8.0mmol/L，二氧化碳结合力降低至 12mmol/L，提示酸中毒。

4. 伴有恶心、呕吐、意识模糊等症状，符合酮症酸中毒引起的全身症状表现。

四、指标异常的原因及治疗方法

指标异常原因

1. 尿酮体阳性：患者由于胰岛素缺乏或胰岛素抵抗，导致机体不能有效利用葡萄糖供能，脂肪分解加速，产生大量脂肪酸。脂肪酸在肝脏进行β - 氧化，生成大量酮体（乙酰乙酸、β - 羟丁酸和丙酮），当酮体生成速度超过机体的利用和排泄速度时，血酮体升高，通过尿液排出，导致尿酮体阳性 。

2. 尿糖阳性：胰岛素不足使得血糖不能正常进入细胞内进行代谢和利用，血糖浓度持续升高，当超过肾脏的糖阈（一般为 8.88 - 10mmol/L）时，葡萄糖不能被肾小管完全重吸收，从而出现尿糖阳性 。

3. 尿液 pH 降低：酮体中的乙酰乙酸和β - 羟丁酸是较强的有机酸，大量酮体堆积导致血液中酸性物质增多，引起代谢性酸中毒。为了维持酸碱平衡，机体通过肾脏排出过多的酸性物质，使得尿液 pH 降低 。

4. 尿比重升高：尿中葡萄糖和酮体等溶质增多，导致尿液渗透压升高，水分重吸收减少，尿液浓缩，从而使尿比重升高 。

治疗方法

1. 补液：迅速补充生理盐水，恢复血容量，改善微循环和肾功能。一般开始时补液速度较快，根据患者的血压、心率、尿量等调整补液速度和量 。

2. 胰岛素治疗：采用小剂量胰岛素持续静脉滴注，每小时每公斤体重 0.1U 胰岛素，使血糖以每小时 3.9 - 6.1mmol/L 的速度下降 。

3. 纠正电解质紊乱：监测血钾水平，根据情况及时补钾，防止低钾血症 。

4. 纠正酸中毒：当血 pH < 7.1 或二氧化碳结合力 < 5.9mmol/L 时，可适当补充碳酸氢钠溶液纠正酸中毒 。

5. 去除诱因和治疗并发症：积极寻找并治疗诱发酮症酸中毒的因素，如感染等；同时密切监测患者病情，防治脑水肿、心力衰竭等并发症 。

以上内容可以直接用于制作PPT，在制作PPT时，可根据实际情况，将文字内容转化为图表、图片等可视化元素，增强展示效果。比如用柱状图对比异常指标与正常参考区间，用流程图展示治疗流程等。"
2025-06-15 20:40:54,我,好专业
2025-06-15 20:41:00,我,现在有那种ai自动做
2025-06-15 20:41:03,我,你要不要试试
2025-06-15 20:41:10,对方,哪个啊
2025-06-15 20:41:16,对方,我看看
2025-06-15 20:41:22,对方,我这个是豆包给我生成的
2025-06-15 20:47:42,我,现在ai写ppt很方便啦，其他生成的稍微改改就可以
2025-06-15 20:48:11,对方,哇塞
2025-06-15 20:48:19,对方,可以可以
2025-06-15 20:56:52,我,对的，这个平台比较坑免费导出的只有一次
2025-06-15 20:56:56,我,且是只读
2025-06-15 20:57:00,我,but
2025-06-15 20:57:40,我,可以线上编辑，就是在他这个网站编辑导出只读pdf：https://www.cappt.cc/?mtm_campaign=CZQD-aigjg-ppt-10010
2025-06-15 20:57:59,对方,搜嘎
2025-06-15 20:58:02,我,"https://zhuanlan.zhihu.com/p/20685290458

如果不满意这还有其他的网站导航"
2025-06-15 20:58:17,我,现在这个技术比较封闭，国内拿到技术的公司都要赚米，所以很坑
2025-06-15 20:59:37,对方,嗯嗯
2025-06-15 20:59:41,对方,我去康康
2025-06-15 21:54:54,对方,做完了
